
1445564132.397:  AA AA 04 80 02 FE E5 9A
1445564132.397:  AA AA 04 80 02 02 B5 C6
1445564132.397:  AA AA 04 80 02 01 15 67
1445564132.397:  AA AA 04 80 02 FD 89 F7
1445564132.397:  AA AA 04 80 02 FD 4C 34
1445564132.398:  AA AA 04 80 02 00 56 27
1445564132.398:  AA AA 04 80 02 00 E5 98
1445564132.398:  AA AA 04 80 02 FD 46 3A
1445564132.398:  AA AA 04 80 02 FC 63 1E
1445564132.398:  AA AA 04 80 02 00 3B 42
1445564132.398:  AA AA 04 80 02 02 22 59
1445564132.398:  AA AA 04 80
1445564132.401:  02 FE E7 98
1445564132.401:  AA AA 04 80 02 FC 5F 22
1445564132.401:  AA AA 04 80 02 FE 2B 54
1445564132.401:  AA AA 04 80 02 01 50 2C
1445564132.401:  AA AA 04 80 02 FF A9 D5
1445564132.401:  AA AA 04 80 02 FC 8F F2
1445564132.401:  AA AA 04 80 02 FE 39 46
1445564132.401:  AA AA 04 80 02 02 78 03
1445564132.401:  AA AA 04 80 02 01 BA C2
1445564132.401:  AA AA 04 80 02 FE 12 6D
1445564132.401:  AA AA 04 80 02 FD 48 38
1445564132.401:  AA AA 04 80 02 00 64 19
1445564132.401:  AA AA 04 80 02 01 B7 C5
1445564132.401:  AA AA 04 80 02 FE 39 46
1445564132.401:  AA AA 04 80 02 FC 94 ED
1445564132.401:  AA AA 04 80 02 00 29 54
1445564132.401:  AA AA 04 80
1445564132.409:  02 02 DA A1
1445564132.409:  AA AA 04 80 02 00 01 7C
1445564132.409:  AA AA 04 80 02 FC FF 82
1445564132.409:  AA AA 04 80 02 FE 3E 41
1445564132.409:  AA AA 04 80 02 01 92 EA
1445564132.409:  AA AA 04 80 02 00 C0 BD
1445564132.409:  AA AA 04 80 02 FD 62 1E
1445564132.409:  AA AA 04 80 02 FE 3A 45
1445564132.409:  AA AA 04 80 02 02 72 09
1445564132.409:  AA AA 04 80 02 02 9C DF
1445564132.409:  AA AA 04 80 02 FF 1A 64
1445564132.409:  AA AA 04 80 02 FD AD D3
1445564132.409:  AA AA 04 80 02 00 6C 11
1445564132.409:  AA AA 04 80 02 02 85 F6
1445564132.409:  AA AA 04 80 02 FF AB D3
1445564132.409:  AA AA 04 80 02 FD 54 2C
1445564132.410:  AA AA 04 80
1445564132.419:  02 00 2D 50
1445564132.419:  AA AA 04 80 02 03 A2 D8
1445564132.419:  AA AA 04 80 02 01 4C 30
1445564132.419:  AA AA 04 80 02 FD C7 B9
1445564132.420:  AA AA 04 80 02 FE 5A 25
1445564132.420:  AA AA 04 80 02 01 B3 C9
1445564132.420:  AA AA 04 80 02 01 5A 22
1445564132.420:  AA AA 04 80 02 FD A8 D8
1445564132.420:  AA AA 04 80 02 FD AB D5
1445564132.420:  AA AA 04 80 02 01 C6 B6
1445564132.420:  AA AA 04 80 02 02 94 E7
1445564132.420:  AA AA 04 80 02 FE FF 80
1445564132.420:  AA AA 04 80 02 FD 0D 73
1445564132.420:  AA AA 04 80 02 FF 56 28
1445564132.420:  AA AA 04 80 02 01 D2 AA
1445564132.420:  AA AA 04 80 02 FF 52 2C
1445564132.420:  AA AA 04 80
1445564132.422:  02 FC B6 CB
1445564132.422:  AA AA 04 80 02 FF 3B 43
1445564132.422:  AA AA 04 80 02 03 06 74
1445564132.422:  AA AA 04 80 02 01 4B 31
1445564132.422:  AA AA 04 80 02 FD CC B4
1445564132.422:  AA AA 04 80 02 FD BF C1
1445564132.422:  AA AA 04 80 02 00 E6 97
1445564132.422:  AA AA 04 80 02 01 56 26
1445564132.422:  AA AA 04 80 02 FD FC 84
1445564132.422:  AA AA 04 80 02 FD 89 F7
1445564132.422:  AA AA 04 80 02 01 6A 12
1445564132.422:  AA AA 04 80 02 03 02 78
1445564132.422:  AA AA 04 80 02 FF CC B2
1445564132.422:  AA AA 04 80 02 FD 94 EC
1445564132.422:  AA AA 04 80 02 FF AC D2
1445564132.422:  AA AA 04 80 02 02 D8 A3
1445564132.422:  AA AA 04 80
1445564132.431:  02 01 20 5C
1445564132.431:  AA AA 04 80 02 FE 23 5C
1445564132.431:  AA AA 04 80 02 FF EC 92
1445564132.431:  AA AA 04 80 02 03 E1 99
1445564132.431:  AA AA 04 80 02 02 C2 B9
1445564132.431:  AA AA 04 80 02 FF 0F 6F
