DateTime,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low GammaHigh,GammaPool,Attention,Meditation
2016/02/13/ 19:59:10.73357,1577030,5046329,14483530,5898301,15794222,7143461,11862034,16384006,48,83
2016/02/13/ 19:59:11.71800,1575275,15728784,10813513,11665441,1114147,11141137,5308433,16646156,43,78
2016/02/13/ 19:59:12.73367,1573193,11927565,327700,4980736,5767176,16384012,11993099,7471107,61,75
2016/02/13/ 19:59:13.67122,1573057,16318546,14417949,11272205,7340040,12779559,3670047,7667727,70,69
2016/02/13/ 19:59:14.68689,1579995,524377,15008109,2097344,15728815,9764968,12648522,16187422,69,75
2016/02/13/ 19:59:15.70257,1577563,12583831,10944679,14483627,3932289,4391251,2424925,11468857,84,67
2016/02/13/ 19:59:16.70262,1573182,2818121,2097174,3735580,10813503,458834,8323092,8912904,91,60
2016/02/13/ 19:59:17.67141,1578917,1770349,786577,917654,5898297,3473554,11075646,12648508,81,57
2016/02/13/ 19:59:18.67146,1576073,12124297,6946826,10289166,12189731,13959222,5701671,3997706,90,35
2016/02/13/ 19:59:19.65589,1573811,13500626,16252981,6750259,10354707,1966132,14417948,4390928,84,38
2016/02/13/ 19:59:20.64031,1574903,13893881,4849739,11731107,12583059,1900649,1638461,6881317,70,44
2016/02/13/ 19:59:21.64036,1578076,983930,12518246,1638853,11665695,917637,2228348,4259920,64,56
2016/02/13/ 19:59:22.65603,1573535,11403433,2359525,13238368,11599955,14876750,12451922,10420286,56,77
2016/02/13/ 19:59:23.64046,1574382,8651266,1966139,8519697,10616958,3342388,8978449,9306125,48,64
2016/02/13/ 19:59:24.64051,1573525,4981014,8192001,2162703,9175061,7143443,3276821,11141123,35,47
2016/02/13/ 19:59:25.63960,1573898,3342408,11337780,6029435,6881318,7274516,6094867,14745608,38,48
2016/02/13/ 19:59:26.63965,1578031,11927751,10551333,655425,5832718,5111819,12910595,15794179,38,48
2016/02/13/ 19:59:27.62407,1573505,8126527,13434959,196803,14942328,5701702,6684707,11534357,41,48
2016/02/13/ 19:59:28.63975,1576547,1048828,5898345,12058663,13041698,5701672,5570584,13238279,43,61
2016/02/13/ 19:59:29.62417,1581277,5636272,524383,3801323,10944591,15401061,11731038,7995400,54,87
2016/02/13/ 19:59:30.59297,1575122,4456896,10944579,5439549,5701653,2818071,4456457,6029318,54,87
2016/02/13/ 19:59:31.59302,1574028,5505026,15466497,9895938,8257536,13107200,8847360,3407872,54,87
2016/02/13/ 19:59:32.60871,1576375,15597829,1835081,15663150,7012404,16121863,9961481,2359301,41,77
2016/02/13/ 19:59:33.57751,1580620,15336186,8585261,2752726,16515168,9240962,16711719,12517408,48,63
2016/02/13/ 19:59:34.57756,1577099,5636210,15204484,3342382,11993205,10813532,7798907,7602239,60,63
2016/02/13/ 19:59:35.59323,1575260,1966450,7274578,12124670,7340423,5570730,6357088,4063254,57,60
2016/02/13/ 19:59:36.56203,1575034,13828450,1310816,15204495,14614576,8257595,1900583,10747933,75,63
2016/02/13/ 19:59:37.59333,1581001,4718904,3539027,10944667,12714243,1507440,3801140,15663137,67,66
2016/02/13/ 19:59:38.54650,1573697,5767333,15466515,10616856,720910,6881314,5177357,6291464,61,57
2016/02/13/ 19:59:39.57780,1573178,458920,8323124,9306126,5767205,5832726,9306134,10616837,54,51
2016/02/13/ 19:59:40.54660,1576813,3670067,3997709,6750259,589842,14614544,4718619,262161,60,54
2016/02/13/ 19:59:41.53102,1578834,15533395,2949250,8913088,4456685,7340143,14811408,12517414,47,50
2016/02/13/ 19:59:42.53107,1573790,8847680,16580691,4522008,13369377,983083,2686992,589839,41,53
2016/02/13/ 19:59:43.53112,1576153,14352676,15269903,2490392,1114129,2752549,16515112,7929869,43,44
2016/02/13/ 19:59:44.54086,1573115,16253005,7667718,14090246,14352392,11862021,3735561,13500420,34,29
2016/02/13/ 19:59:45.52528,1573271,3407935,15204361,5570565,15925262,11927561,1769481,983044,40,29
2016/02/13/ 19:59:46.52533,1583435,10356373,11928019,12255392,11600104,12583117,6553909,15532132,38,29
2016/02/13/ 19:59:47.52538,1577005,4064449,13566164,9175075,7012408,655518,8716418,3473468,37,34
2016/02/13/ 19:59:48.55668,1574507,5570720,4849690,3276939,5767220,1376290,16580626,10354716,43,47
2016/02/13/ 19:59:49.52548,1575204,10944904,11075786,1900698,6946948,1376419,786536,2490405,50,54
2016/02/13/ 19:59:50.50990,1573067,12452412,1835137,15990906,9437338,10944591,8585241,9568307,51,56
2016/02/13/ 19:59:51.50260,1573901,8455627,3932362,8519953,8061294,13500739,11075817,13041789,56,57
2016/02/13/ 19:59:52.53769,1574862,9896057,6488140,8519694,4587540,14090284,10420245,2490375,64,56
2016/02/13/ 19:59:53.47524,1577537,328821,7798819,6291603,6946928,10485902,4128862,7077954,56,43
2016/02/13/ 19:59:54.50654,1573304,79,2752526,5505025,13631491,4194313,5505029,8847364,56,40
2016/02/13/ 19:59:55.44408,1575733,7929909,7864347,9175114,11141183,13107219,7733257,3145741,53,50
2016/02/13/ 19:59:56.48117,1574797,13304691,1114213,13959413,5373991,2883649,5111904,2162746,40,47
2016/02/13/ 19:59:57.48122,1574018,13697283,15597673,7733429,16384072,9240671,10158126,16646173,44,60
2016/02/13/ 19:59:58.46565,1572965,3539073,5963791,4259842,16187395,13303826,14483460,4718593,47,56
2016/02/13/ 19:59:59.45007,1573677,14155888,9896020,655384,8716306,10158096,15138837,786436,41,56
2016/02/13/ 20:00:00.43449,1576315,10420486,14155995,14090302,15466627,10289227,14811257,12779559,51,61
2016/02/13/ 20:00:01.45018,1573783,6094965,10878995,2359309,8192050,15532090,3473426,5439502,60,48
2016/02/13/ 20:00:02.41897,1575516,16121937,12189746,5505084,8650779,14483489,12058651,12058638,64,64
2016/02/13/ 20:00:03.45028,1573229,16580625,13697035,3801103,5898247,6291465,3604489,196610,75,64
2016/02/13/ 20:00:04.41908,1574032,15073783,12976269,3014692,12189725,3342386,10027119,11141169,67,60
2016/02/13/ 20:00:05.40350,1575866,13632725,10682474,11468863,16056401,2293907,13435017,14483515,53,56
2016/02/13/ 20:00:06.40355,1577893,3015089,3014767,16711820,14221435,12517420,2359357,2490397,43,51
2016/02/13/ 20:00:07.38798,1573351,7143614,12517381,16449552,6750227,14614546,3866636,917509,35,34
2016/02/13/ 20:00:08.38803,1575234,16646527,5242905,11075607,1114396,9699481,10485803,3604522,51,17
2016/02/13/ 20:00:09.38807,1575637,2162875,15269912,15204410,11862119,3997798,4849688,3670031,64,24
2016/02/13/ 20:00:10.40375,1577397,8917099,12517822,13632957,11076578,10552528,721421,852172,77,21
2016/02/13/ 20:00:11.37255,1575253,8128174,2818152,15466680,5898453,7864520,10158146,3080229,78,24
2016/02/13/ 20:00:12.37260,1574475,13238787,16450040,14090567,9175150,10879104,14942252,12582967,64,51
2016/02/13/ 20:00:13.37265,1575894,7604032,7143451,5308641,4653105,6422696,3670062,196622,47,44
2016/02/13/ 20:00:14.34144,1582491,7864601,16318636,9240612,6881479,15990838,13434967,15597602,40,48
2016/02/13/ 20:00:15.35712,1574022,11468841,4390941,15794185,3932164,10223618,10223620,262146,26,63
2016/02/13/ 20:00:16.34154,1573300,4980905,14549002,4653101,13041686,11010069,5308428,5963783,24,50
2016/02/13/ 20:00:17.32922,1573210,11468877,3997711,9764868,9109520,11993097,14352391,11141127,27,54
2016/02/13/ 20:00:18.34490,1579703,1442213,4128875,10420383,393280,13697110,14942349,13172774,29,57
2016/02/13/ 20:00:19.34976,1578103,13828440,3342611,16646242,4325454,66,9240601,13303820,43,56
2016/02/13/ 20:00:20.35173,1577648,3932632,8847539,13172890,7667812,13697104,8585287,6160408,44,63
2016/02/13/ 20:00:21.32070,1575051,1442693,4128986,6816087,8847510,5505266,16121939,8192029,51,67
2016/02/13/ 20:00:22.30783,1573215,15073780,16318497,9240658,2359343,12517401,12910602,14614536,38,61
2016/02/13/ 20:00:23.34119,1578529,10946080,5440052,4063598,14942777,12320885,8192155,12714062,30,56
2016/02/13/ 20:00:24.30886,1576616,3604872,5111923,2424857,3342468,6094953,7405610,9961533,38,50
2016/02/13/ 20:00:25.29328,1575829,1705113,1967431,4784857,4129279,3080660,6226087,12320991,37,56
2016/02/13/ 20:00:26.29018,1573798,15139225,11468823,15859731,7798846,5832750,14155792,4259853,44,48
2016/02/13/ 20:00:27.29980,1573535,9306217,16646172,9109538,11075634,3670062,9240597,3801112,64,44
2016/02/13/ 20:00:28.26564,1579572,2426320,9634285,12845360,10420371,10289709,10027186,11599956,66,48
2016/02/13/ 20:00:29.30981,1573265,4325397,16580615,9043971,2424839,1900547,9109506,15204352,63,38
2016/02/13/ 20:00:30.27754,1578944,12321599,983104,8519877,12779607,13107576,1638514,11731072,77,48
2016/02/13/ 20:00:31.27505,1579659,8913198,3342359,3866644,4980837,16318506,10813459,9830417,67,37
2016/02/13/ 20:00:32.25864,1574216,9568626,11862054,13500473,7667735,10223664,15663123,6750219,57,34
2016/02/13/ 20:00:33.24365,1573009,9896047,3342347,5046277,6488077,5373963,2424836,13565955,56,24
2016/02/13/ 20:00:34.24404,1573115,3866947,9437261,458767,11337758,16318508,3801122,12386319,44,26
2016/02/13/ 20:00:35.23792,1574779,14026612,2949207,65603,10420317,4849813,15597653,4784187,38,23
2016/02/13/ 20:00:36.23028,1577440,15728890,6160455,10092570,262162,11993110,12517408,1048585,34,26
2016/02/13/ 20:00:37.23171,1573473,3473806,6488136,14024762,15335485,15990813,8454167,16646173,27,34
2016/02/13/ 20:00:38.22041,1575644,7077941,15204420,9109541,851999,327697,6488076,10158086,27,47
2016/02/13/ 20:00:39.23989,1576997,9502871,1179676,3997721,7667752,11206723,13762576,983069,47,56
2016/02/13/ 20:00:40.24171,1574984,16384283,14745642,13303817,12386485,7471185,13959210,13041681,61,44
2016/02/13/ 20:00:41.20063,1575373,6357142,11796487,8192040,393239,16449546,4653065,2752526,61,44
2016/02/13/ 20:00:42.20535,1575434,2033674,8650894,11206708,65777,3866726,12189759,12714036,50,21
2016/02/13/ 20:00:43.19932,1576678,2032721,196725,458857,14221416,16711756,10158118,5439554,29,20
2016/02/13/ 20:00:44.16812,1577123,4129136,13172850,5701707,10354761,7340168,12714089,11731011,29,29
2016/02/13/ 20:00:45.16817,1585100,15729818,3014799,5832919,13304085,16712031,9502870,2687093,44,27
2016/02/13/ 20:00:46.18385,1576952,1376425,4063295,1638428,9371698,12451922,13631507,11141141,66,40
2016/02/13/ 20:00:47.18390,1581256,13043109,12714918,11075975,327747,14221789,1966304,524342,78,51
2016/02/13/ 20:00:48.15269,1574227,852374,6553622,8716331,15859738,10551324,14024720,14680071,63,44
2016/02/13/ 20:00:49.18399,1573443,13238435,720934,16252963,6225932,11534371,2228235,13893644,60,51
2016/02/13/ 20:00:50.15279,1575949,11733107,4456704,14090559,12452069,9634077,9633887,4128823,48,48
2016/02/13/ 20:00:51.14563,1574485,983364,393334,1638480,3407999,7405648,16711697,13959179,47,43
2016/02/13/ 20:00:52.13005,1581698,14680334,15008103,13697432,14746189,10420468,6684895,11862089,60,56
2016/02/13/ 20:00:53.11448,1579659,1053246,16646349,12124628,10879612,10027394,15270087,16318626,53,47
2016/02/13/ 20:00:54.16140,1578045,4260401,786507,8061063,12386379,12451890,6422553,6029329,48,50
2016/02/13/ 20:00:55.17708,1575647,328690,9830632,13959424,4587712,10748219,4522069,2490395,51,50
2016/02/13/ 20:00:56.11462,1573208,11862294,15925268,15138843,10616867,15925280,3407878,6488071,43,37
2016/02/13/ 20:00:57.11357,1575041,8585323,3014687,12189736,5963876,8585257,11993105,6029327,54,44
2016/02/13/ 20:00:58.12925,1575053,16581569,9175137,11272296,1245412,9306251,852070,10879013,61,38
2016/02/13/ 20:00:59.11367,1583679,3016447,2687504,5833110,4784797,721330,12648552,5111941,60,37
2016/02/13/ 20:01:00.09809,1578254,13173466,10223864,10027150,3735687,4129049,12714419,10748010,67,44
2016/02/13/ 20:01:01.09815,1576720,16057401,4653079,5767204,5767298,13959237,9240605,13697039,54,27
2016/02/13/ 20:01:02.11382,1579696,10224656,14155941,16515139,6160916,3408102,6225979,16252992,60,26
2016/02/13/ 20:01:03.08262,1576433,10551905,4259869,65589,13107239,14876706,15073293,15335446,48,17
2016/02/13/ 20:01:04.08271,1575993,11272516,9437218,8454248,8061011,14286888,9699355,8388618,37,16
2016/02/13/ 20:01:05.16088,1575306,16122108,8585260,7208994,11665458,5242905,6684684,5111826,38,30
2016/02/13/ 20:01:06.06718,1578820,14418265,3145824,10158207,6553681,6422634,10813548,4718623,38,41
2016/02/13/ 20:01:07.06723,1575368,2687455,2097344,9437255,5767388,13566015,11010095,4522015,43,51
2016/02/13/ 20:01:08.11415,1575137,13107340,8585262,2621455,6357046,4325426,8192018,11337746,54,50
2016/02/13/ 20:01:09.05170,1573533,3276952,15597592,13369385,2228248,15728665,11272235,9109511,60,53
2016/02/13/ 20:01:10.04704,1574490,4063549,16449952,524491,12255399,6684997,11075700,10223673,66,60
2016/02/13/ 20:01:11.10959,1576707,3934512,3146206,7864650,15270173,11862229,4456558,14352449,63,56
2016/02/13/ 20:01:12.06276,1580612,10553024,12058654,8389096,1507559,4129061,3473487,7798866,56,56
2016/02/13/ 20:01:13.03156,1580996,2163620,6882249,11796545,9306244,6160562,10944630,12648491,54,64
2016/02/13/ 20:01:14.03161,1575818,590355,2752579,11665442,458880,1376289,14286884,5767187,35,50
2016/02/13/ 20:01:15.03166,1573099,2228355,15335440,2424840,11141136,11534341,1835019,14286855,26,47
2016/02/13/ 20:01:16.01608,1573444,10158308,4522049,8978448,1572910,10813493,4194349,2293769,29,47
2016/02/13/ 20:01:17.01613,1573978,14745911,7733316,13566027,11337776,7012379,16252941,8257543,24,38
2016/02/13/ 20:01:18.01618,1574473,16449717,15335448,10747915,2686984,13762589,12320787,13107214,35,38
2016/02/13/ 20:01:19.00060,1574216,2883777,13238415,4587549,14811191,15597615,11272207,16449556,48,50
2016/02/13/ 20:01:20.01628,1574639,8323142,14221332,13697118,11403305,11534376,5242901,15990793,51,60
2016/02/13/ 20:01:21.00070,1574784,15204680,12058648,5832781,3801157,5636163,6422568,3735565,63,53
2016/02/13/ 20:01:21.96950,1577410,5964020,7274624,7274511,11141140,6881353,14942225,5636108,66,63
2016/02/13/ 20:01:22.95392,1573186,3080344,1179656,6553605,6553607,3735563,983044,13697027,60,47
2016/02/13/ 20:01:23.98522,1580747,7078485,5046497,5308519,6553887,2818259,1179775,7667769,60,38
2016/02/13/ 20:01:24.95878,1576753,1376997,9765405,7471262,1114222,5243171,4718759,16449597,63,47
2016/02/13/ 20:01:25.94321,1573531,11010308,7667774,13172801,10223659,9371678,15925269,7602195,53,47
2016/02/13/ 20:01:26.96697,1573688,13762623,2818195,4390940,10289169,9961510,14417928,7340051,63,70
2016/02/13/ 20:01:27.93577,1573054,3604573,8454150,16187397,11010057,15794186,10682373,13303810,53,61
2016/02/13/ 20:01:28.95144,1577855,6947040,7798991,15925478,9961562,13172955,14483503,8257585,57,64
2016/02/13/ 20:01:29.92024,1578682,5243923,6422665,9830522,9371807,15335484,12714151,12124186,53,60
2016/02/13/ 20:01:30.93592,1578643,9306665,1245291,6946970,14942249,65614,14549064,11141186,47,48
2016/02/13/ 20:01:31.92034,1579802,9241664,15991261,8323355,9896649,3080482,10879087,9896015,53,57
2016/02/13/ 20:01:32.90476,1575420,9044070,6094863,3801124,12124227,3407918,2949146,10289165,51,48
2016/02/13/ 20:01:33.92044,1575547,11665580,9240604,16646186,12124248,7733293,8323109,720913,66,48
2016/02/13/ 20:01:34.90487,1576763,13566219,16187511,1900591,4784242,2425055,9961532,8650796,83,43
2016/02/13/ 20:01:35.88929,1577502,13566468,7995457,12910705,131227,15073399,5767230,5308445,84,41
2016/02/13/ 20:01:36.90497,1575317,3866750,12910627,1310807,14942292,13959197,3211281,3801099,75,48
2016/02/13/ 20:01:37.88939,1575732,10485874,13893682,6553614,16121915,1769501,4915242,3407883,74,51
2016/02/13/ 20:01:38.88944,1575149,8650956,14745625,8650804,7602198,5570585,10813459,12189708,54,53
2016/02/13/ 20:01:39.88949,1577803,12780306,13697208,13500472,10944635,16646288,1245286,7208999,51,53
2016/02/13/ 20:01:40.85829,1573110,13303915,14221340,852021,7602197,2293780,8388629,6225936,51,53
2016/02/13/ 20:01:41.85834,1577022,15467228,12976426,9830483,13238410,6160464,16580727,9764908,43,53
2016/02/13/ 20:01:42.85838,1573707,11600090,11730948,3538957,393245,14614558,6750221,5898256,48,40
2016/02/13/ 20:01:43.85843,1573405,4325592,12255310,11534369,2752540,14090263,7208982,1245196,40,44
2016/02/13/ 20:01:44.84286,1576671,3211703,5243050,15401060,4784247,7864383,16515214,13172781,37,43
2016/02/13/ 20:01:45.84291,1575345,10029896,15335527,6357587,16384109,4456593,5046339,327765,29,38
2016/02/13/ 20:01:46.84296,1573435,4325510,11927644,393232,9502757,9437209,10027032,4456463,26,56
2016/02/13/ 20:01:47.84300,1576833,12124254,786502,14352471,1507363,14286888,1048612,10223624,37,64
2016/02/13/ 20:01:48.82743,1576307,327749,786466,6094908,14549038,4718628,917516,3014664,47,66
2016/02/13/ 20:01:49.87435,1575995,13172835,12779718,8716455,1704124,6160458,14745678,13500472,61,80
2016/02/13/ 20:01:50.81190,1574364,5046375,6225957,9371690,2359305,10551312,3801097,12189702,61,80
2016/02/13/ 20:01:51.81195,1574838,8650821,1638431,11665426,1310756,14680104,9175058,15007770,69,70
2016/02/13/ 20:01:52.81200,1578827,9963053,13632189,12779695,5832829,10551448,327717,2162730,56,67
2016/02/13/ 20:01:53.82767,1575293,10617730,12124365,16449952,13369466,14745925,14614762,2752565,60,61
2016/02/13/ 20:01:54.78385,1576669,11469015,3866692,8061000,16252964,8519724,131113,8716324,63,61
2016/02/13/ 20:01:55.78173,1577751,6227424,11665678,14287033,13566259,13894010,8978663,852018,54,56
2016/02/13/ 20:01:56.79203,1574160,11010345,7274559,10223626,10616853,13172762,11403309,14614540,56,51
2016/02/13/ 20:01:57.78789,1573018,7274540,2490383,3604482,2293763,12386311,6356997,12582916,50,48
2016/02/13/ 20:01:58.78187,1578722,13763044,16515146,12386347,13893801,16056450,4259984,15728686,56,38
2016/02/13/ 20:01:59.76852,1573620,2359687,15597675,15007781,12058649,12582965,917548,11665437,50,41
2016/02/13/ 20:02:00.76819,1580376,4850611,16253101,6160494,6029464,8060975,9830419,11665417,41,41
2016/02/13/ 20:02:01.76018,1573630,14091988,3670393,6881343,1442009,2162842,9896095,5177380,37,38
2016/02/13/ 20:02:02.75882,1574145,4588230,11272254,1638471,11993136,11337771,7929876,9240586,20,38
2016/02/13/ 20:02:03.75069,1581334,16449680,8913022,15794319,1769635,6291548,7733340,8388640,27,47
2016/02/13/ 20:02:04.72575,1574875,1180591,4784419,327872,3211514,3473574,2556015,12189733,41,50
2016/02/13/ 20:02:05.80113,1575428,16122893,15728724,8061292,2228326,10027139,6422623,8978477,44,56
2016/02/13/ 20:02:06.70628,1574513,15335520,6029319,2883685,12976176,11599888,14614560,2031634,51,67
2016/02/13/ 20:02:07.72811,1573098,10551341,7471116,15138837,10616843,7143433,9,851970,44,64
2016/02/13/ 20:02:08.74977,1577806,4784283,3997824,1114187,1376329,8978621,655449,70,61,66
2016/02/13/ 20:02:09.72178,1573586,4063409,7602212,24,13172774,13565983,1310741,7208972,64,63
2016/02/13/ 20:02:10.69058,1575744,8257769,11403317,16580837,8519789,16646218,1507419,1245224,69,63
2016/02/13/ 20:02:11.70625,1576050,3801296,2818126,4784282,13762631,4325530,2687013,8454181,80,63
2016/02/13/ 20:02:12.69068,1579455,13107637,10879170,16384031,917604,6815887,4522049,8454179,70,60
2016/02/13/ 20:02:13.70635,1574375,7734345,4456597,15794343,262416,10682544,524397,12976183,69,57
2016/02/13/ 20:02:14.70640,1574892,15532395,6946857,8585229,4915219,5832736,3342347,14483468,64,44
2016/02/13/ 20:02:15.67520,1573269,8781967,10747966,7405582,6815786,16318490,8650766,8585227,53,40
2016/02/13/ 20:02:16.67525,1573284,10616992,11665491,9633942,1507409,1572966,14090291,14090292,54,47
2016/02/13/ 20:02:17.65967,1573535,4456655,11468882,11075621,12320829,15204367,14549003,4653065,44,54
2016/02/13/ 20:02:18.70660,1576336,3016983,15794332,12189884,3276883,2949284,2949165,14745640,41,53
2016/02/13/ 20:02:19.65977,1578893,262599,7995525,196701,2490528,3539074,3801160,8257555,48,53
2016/02/13/ 20:02:20.64419,1576929,14614630,8978939,12910638,5505208,1179842,3997745,9764890,50,56
2016/02/13/ 20:02:21.66038,1574197,7340142,7995409,11993100,14417956,8912931,10551310,10616842,67,48
2016/02/13/ 20:02:22.63594,1573003,11796570,7864367,13565980,65560,10027037,14352401,2359304,78,60
2016/02/13/ 20:02:23.63599,1574694,5636826,15990811,15007806,6160447,8781910,11927614,12910637,70,50
2016/02/13/ 20:02:24.63604,1572923,7340274,3211292,12320855,12058684,2228316,13303849,15663123,69,40
2016/02/13/ 20:02:25.62046,1573285,9568317,15925289,11403283,1245202,14024716,65550,12779525,57,51
2016/02/13/ 20:02:26.62051,1573466,4456584,4259843,13107217,15400981,11730962,13172749,1769485,54,38
2016/02/13/ 20:02:27.60493,1579237,2950917,4129252,9568376,7733677,8323245,14745653,16711736,50,47
2016/02/13/ 20:02:28.59197,1573151,14221561,65623,5308606,12910611,10289210,2359354,15663155,41,54
2016/02/13/ 20:02:29.62222,1573216,9961594,1245430,15401114,1048694,8454250,7995441,3473432,48,60
2016/02/13/ 20:02:30.58729,1572977,3080444,6029365,13500571,3080266,8913105,2162745,13762578,63,70
2016/02/13/ 20:02:31.58734,1573091,655402,11927574,13762561,14745613,14024709,589828,7929858,63,75
2016/02/13/ 20:02:32.57533,1574738,14483590,917529,2883608,3407925,15859754,9633810,4653071,70,61
2016/02/13/ 20:02:33.59101,1578366,593812,7995938,10748262,11272508,9764963,10813499,9240643,48,47
2016/02/13/ 20:02:34.57543,1573010,5046345,13697173,3932243,1704050,7929946,4194345,7733316,43,53
2016/02/13/ 20:02:35.59229,1573498,4849918,10616957,15794243,1704018,10420311,7929989,16646175,53,54
2016/02/13/ 20:02:36.56109,1575800,15139162,11337788,15728726,15728802,10420388,852074,7536682,56,56
2016/02/13/ 20:02:37.56114,1579818,10818772,1180044,12451899,9044107,3408012,10748004,1245303,60,48
2016/02/13/ 20:02:38.55695,1577676,8127195,4128941,10223700,12714041,3932399,14680206,54,56,38
2016/02/13/ 20:02:39.56886,1573142,7405763,11862054,12255285,5373965,5963806,1245195,10878988,51,37
2016/02/13/ 20:02:40.56122,1573781,15139069,16580681,11534541,13303992,2031850,11731110,9109551,53,41
2016/02/13/ 20:02:41.55889,1575883,6095856,12976144,4391110,7143556,196743,4653133,15138910,70,48
2016/02/13/ 20:02:42.52715,1579307,5375331,14418188,5636125,11731128,10944789,8912988,2621585,66,43
2016/02/13/ 20:02:43.51158,1576347,13828340,10485862,15663133,10616860,13893659,5308458,13369367,61,44
2016/02/13/ 20:02:44.51163,1574953,7340639,10354725,13828146,9043997,4259903,11993148,11468824,47,35
2016/02/13/ 20:02:45.51168,1576236,8782052,99,15269934,7274530,13697046,1507357,7208972,40,44
2016/02/13/ 20:02:46.53335,1575789,4719943,6684781,14614579,3539057,11862115,9044060,6684707,29,41
2016/02/13/ 20:02:47.51088,1577365,6096522,16712011,14090378,15859877,6291587,2228299,10747958,27,35
2016/02/13/ 20:02:48.48353,1577178,4654960,3277050,15139103,15401537,1900883,244,10485861,30,38
2016/02/13/ 20:02:49.49921,1580980,5376348,9961870,16318865,13107500,4456667,8192179,5111925,34,30
2016/02/13/ 20:02:50.46800,1582539,2430270,4849990,4063663,6094942,6160751,9109700,6291597,29,34
2016/02/13/ 20:02:51.51493,1574234,11141220,6815771,1900587,5963836,16121926,12124191,5439513,51,37
2016/02/13/ 20:02:52.50103,1573882,13239093,8519770,13959331,16711760,8192083,5177498,7012443,44,38
2016/02/13/ 20:02:53.48381,1573169,655471,1441846,15794298,3407986,11403372,10289313,917565,63,44
2016/02/13/ 20:02:54.44790,1573793,10748140,12517407,16515133,7012398,131121,10223659,1245200,74,51
2016/02/13/ 20:02:55.44795,1577527,11601551,9372303,16712014,4522451,15073573,3866777,9961531,57,54
2016/02/13/ 20:02:56.49488,1580427,14484977,5636547,1704360,7405841,11469222,8847687,4063306,67,57
2016/02/13/ 20:02:57.44805,1573705,4915396,3276820,2555995,4522021,852024,8585239,12320788,61,54
2016/02/13/ 20:02:58.42593,1575153,1638754,16318928,13500622,2425057,5570775,458832,15663168,64,64
2016/02/13/ 20:02:59.47286,1573186,5178878,1310810,12648514,14876694,15794252,2687011,1376278,54,51
2016/02/13/ 20:03:00.47291,1575655,7472188,65677,13041729,14549179,12845260,2818164,15204462,51,41
2016/02/13/ 20:03:01.42608,1577222,7930060,1966082,12779546,4849745,10944585,2359331,12714019,57,29
2016/02/13/ 20:03:02.45199,1573153,13631582,12058642,4522007,15073320,1769503,15466505,14417925,60,17
2016/02/13/ 20:03:03.40759,1576185,852619,6094982,14352545,3670129,4849774,7602396,9764927,69,29
2016/02/13/ 20:03:04.40764,1582625,12976798,15269949,12583160,7078138,11993386,655434,15532084,78,35
2016/02/13/ 20:03:05.41068,1575526,3672310,12714569,14090689,12189999,12386544,9437310,11599950,61,50
2016/02/13/ 20:03:06.37874,1577085,10158892,13762787,4128866,15794309,10813596,11337861,12124257,56,51
2016/02/13/ 20:03:07.44357,1573658,853084,13763088,15073478,13107314,3014983,3342485,2097207,61,53
2016/02/13/ 20:03:08.37085,1574635,13435451,6946936,13631543,4063304,1245227,15073358,8716302,43,54
2016/02/13/ 20:03:09.40215,1574151,786593,16252948,1310733,13631498,16646151,14352397,7602180,37,48
2016/02/13/ 20:03:10.40220,1574456,4456758,9961536,11272203,5898296,1376333,15204394,5242906,40,43
2016/02/13/ 20:03:11.35537,1575186,4718817,589878,3670031,7536651,15728675,16515112,12713997,35,38
2016/02/13/ 20:03:12.37104,1583941,7145437,131390,11600434,9109654,11075882,1442075,7864465,41,40
2016/02/13/ 20:03:13.40234,1576189,14418709,9044065,8913093,16384195,7667803,15925329,589858,50,43
2016/02/13/ 20:03:14.35551,1573846,5767715,1835132,6619188,7667744,10813486,9306174,7798800,37,48
2016/02/13/ 20:03:15.32431,1578376,5375042,3998814,4129076,8257753,11600045,4784236,7864426,30,60
2016/02/13/ 20:03:16.33999,1574262,8388679,7143458,4980751,10354715,2883616,2228248,10944519,41,60
2016/02/13/ 20:03:17.34004,1575235,13303985,4915351,16580647,262209,6750296,5963847,6029372,54,66
2016/02/13/ 20:03:18.34009,1578684,5832843,2359520,5898440,327743,6160423,8978498,720934,54,81
2016/02/13/ 20:03:19.35576,1576438,7864355,10092642,11534444,4259941,13107280,9895996,1900560,70,81
2016/02/13/ 20:03:20.30893,1573356,15532603,13303826,4128820,196669,16318553,10092601,7733270,64,69
2016/02/13/ 20:03:21.29336,1574452,3998148,5308647,13762608,8126506,11337833,13303833,16515109,57,67
2016/02/13/ 20:03:22.32466,1578602,15730305,15008368,12976414,1704138,13435025,15466593,3801145,56,56
2016/02/13/ 20:03:23.30908,1573905,2359388,1966101,15466516,11665420,14352400,4259857,131082,47,47
2016/02/13/ 20:03:24.27788,1579840,14091115,3211365,1966263,11927899,2162890,7012518,327750,48,53
2016/02/13/ 20:03:25.27793,1577328,12059508,5505060,10354764,16187437,15073423,7995452,15204373,48,40
2016/02/13/ 20:03:26.27797,1574586,3081325,16515265,15532100,3473597,4063513,3801202,12976275,61,30
2016/02/13/ 20:03:27.29365,1576639,4130930,2490653,4522074,11600440,5243140,721035,9306314,61,23
2016/02/13/ 20:03:28.26245,1580253,8258178,12911116,16646177,7012562,4063306,9175102,12582935,50,34
