DateTime,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low GammaHigh,GammaPool,Attention,Meditation
2016/02/13/ 19:55:54.78884,1576238,9503069,458945,12255289,5177395,1900648,9830448,6488086,57,44
2016/02/13/ 19:55:55.82014,1574875,6423353,13434961,9765023,10813574,655433,7077928,3997725,57,47
2016/02/13/ 19:55:56.85144,1576881,12455920,6422861,1900689,10551526,2687269,917593,1310765,41,37
2016/02/13/ 19:55:57.78899,1574286,1049162,13959694,8650842,13041755,8061034,1179706,5308461,37,47
2016/02/13/ 19:55:58.78904,1573225,6619177,5701664,16121905,14090263,917521,5505031,5963785,34,53
2016/02/13/ 19:55:59.78908,1573335,4128818,13238379,6684707,2818074,3670026,11796501,1310733,30,70
2016/02/13/ 19:56:00.77351,1573895,2752769,12189712,16,8519737,5046289,9699336,6225923,29,70
2016/02/13/ 19:56:01.74229,1575072,11731042,6291476,7012394,7143436,16056346,4915210,6094852,37,66
2016/02/13/ 19:56:02.75797,1574477,9961970,3473879,5177608,6619283,14024919,3276844,655378,38,64
2016/02/13/ 19:56:03.74239,1584226,2100363,3604570,16384265,10813903,10879263,2359490,7995506,38,64
2016/02/13/ 19:56:04.77369,1574501,1442068,8323144,4980771,13238331,10485824,15204365,5439503,38,64
2016/02/13/ 19:56:05.75812,1576599,8978541,13631692,9699482,12714189,6226043,1835042,13565961,54,57
2016/02/13/ 19:56:06.74254,1582023,12715378,1377189,15008330,10224257,6488487,15008025,4718776,64,74
2016/02/13/ 19:56:07.74259,1578861,10879513,9502783,8913174,4718729,2883876,15073334,9830445,64,74
2016/02/13/ 19:56:08.75826,1576714,16253299,13107401,6291526,13304426,3146208,13500614,9765001,64,74
2016/02/13/ 19:56:09.71144,1576537,14946493,8981741,9765482,5308741,13041882,11272446,8257826,64,74
2016/02/13/ 19:56:10.71149,1579442,8716993,6291722,4325507,7930098,655825,2228473,6160674,64,74
2016/02/13/ 19:56:11.72716,1580634,12325329,4460664,16580874,13240620,14748626,12124346,5308643,64,74
2016/02/13/ 19:56:12.71158,1585513,6226208,4850793,13500870,9437475,9240818,5636253,15138854,64,74
2016/02/13/ 19:56:13.72726,1573481,15335655,13369465,14614696,79,3342443,7340066,5505057,64,74
2016/02/13/ 19:56:14.69606,1577519,12452054,15335471,3080285,655389,3145839,10682388,3211272,69,70
2016/02/13/ 19:56:15.69610,1574023,1048630,15794211,4456464,262155,6094854,12845059,1703939,60,69
2016/02/13/ 19:56:16.69616,1579664,13173291,10813734,3473662,8061256,11075724,4915307,3997723,51,64
2016/02/13/ 19:56:17.66495,1575979,1770777,8978788,8585549,196819,4915310,16187470,13434909,41,61
2016/02/13/ 19:56:18.66500,1575826,3473979,1114336,7995461,5505125,9633847,8716326,7143438,26,63
2016/02/13/ 19:56:19.68068,1576564,2229078,14745795,4522063,13565997,15990936,9109520,12189707,35,54
2016/02/13/ 19:56:20.66510,1573728,5570990,6094911,12320803,2162747,4980772,8847374,65540,27,44
2016/02/13/ 19:56:21.64952,1576846,2621652,589997,6291491,5832771,4784245,7274542,16449555,44,48
2016/02/13/ 19:56:22.69645,1572954,5701670,10682488,13828104,15728657,10420235,4653065,3145731,44,61
2016/02/13/ 19:56:23.63285,1573531,8388667,12058699,6422536,9175054,3145741,4980750,15925254,41,75
2016/02/13/ 19:56:24.63211,1573641,8323285,6160484,12648465,14483471,14549006,8126477,3932164,37,83
2016/02/13/ 19:56:25.64779,1579203,6357195,4128953,9175318,8323168,4128786,12910625,8978442,14,91
2016/02/13/ 19:56:26.64784,1573443,2228292,6815756,11010060,13631495,9895945,10354699,11534341,17,75
2016/02/13/ 19:56:27.61664,1573597,1114634,14942211,14483559,9175214,12452009,11337737,12582916,29,56
2016/02/13/ 19:56:28.60106,1572937,9961543,3211294,11731000,655373,6619159,7077896,6488067,41,61
2016/02/13/ 19:56:29.60111,1573185,9896138,7471143,9830441,12648508,11206683,1507351,8519683,53,44
2016/02/13/ 19:56:30.61678,1574086,9503414,12386398,1310846,5374123,10420479,9764892,2949172,63,41
2016/02/13/ 19:56:31.58555,1579322,11993160,16121879,9109586,13434903,5046305,13828099,14614535,60,57
2016/02/13/ 19:56:32.58560,1576993,9961637,2490496,393294,9306151,6357013,1835019,3145735,50,57
2016/02/13/ 19:56:33.58565,1575751,14286949,16711852,852063,9175068,983080,1638438,8060941,51,75
2016/02/13/ 19:56:34.60132,1580602,16056397,13762566,15663129,15925273,4259867,10813457,11599878,51,77
2016/02/13/ 19:56:35.58575,1573584,16646549,720921,9175139,15007784,5898281,720913,15204370,41,66
2016/02/13/ 19:56:36.57017,1573465,1179866,5636115,8323105,3735610,15794193,4587535,5832718,41,53
2016/02/13/ 19:56:37.57853,1575578,4390955,11862026,13172769,8323091,2752544,14811192,5832708,54,43
2016/02/13/ 19:56:38.56483,1573851,10093817,6881320,7471143,6619307,1245327,2097262,7077919,47,27
2016/02/13/ 19:56:39.54925,1575493,4915386,15728732,4718641,5046422,14680194,3145783,6422543,64,29
2016/02/13/ 19:56:40.53368,1575196,6816043,10486043,3145872,6291531,983071,13303835,9306117,61,44
2016/02/13/ 19:56:41.54935,1574142,14156162,15925320,12058671,8388646,15138874,12845075,1507338,48,40
